passingAttempts,passingBigPlays,passingFirstDowns,passingFumbles,passingFumblesLost,passingTouchdownPct,passingTouchdowns,passingYards,passingYardsAfterCatch,passingYardsAtCatch,passingYardsPerGame,totalOffensivePlays,totalPoints,totalPointsPerGame,totalTouchdowns,totalYards,totalYardsFromScrimmage,rushingAttempts,rushingBigPlays,rushingFirstDowns,rushingFumbles,rushingFumblesLost,rushingTouchdowns,rushingYards,rushingYardsPerGame,totalTackles,totalKickingPoints,totalTwoPointConvs,totalPenalties,totalPenaltyYards,totalDrives,team_number,team,year,totalGiveaways,totalTakeaways
511.0,46.0,172.0,4.0,2.0,4.892,25.0,3566.0,0.0,3566.0,222.875,1038.0,384.0,24.0,44.0,5845.0,0.0,499.0,13.0,118.0,12.0,6.0,16.0,2279.0,142.438,1008.0,116.0,1.0,104.0,807.0,0.0,25,SF,2003,,
561.0,28.0,172.0,15.0,9.0,2.852,16.0,3455.0,0.0,3455.0,215.938,1026.0,257.0,17.133,29.0,4904.0,0.0,413.0,7.0,83.0,11.0,8.0,10.0,1449.0,90.563,1091.0,77.0,3.0,103.0,859.0,0.0,25,SF,2004,,
389.0,27.0,96.0,13.0,5.0,2.057,8.0,2190.0,0.0,2190.0,136.875,865.0,239.0,14.938,23.0,3879.0,0.0,428.0,11.0,70.0,8.0,3.0,9.0,1689.0,105.563,1139.0,99.0,1.0,106.0,780.0,0.0,25,SF,2005,,
444.0,34.0,132.0,6.0,2.0,3.604,16.0,2890.0,1433.0,1457.0,180.625,918.0,296.0,19.733,30.0,5062.0,0.0,439.0,20.0,97.0,10.0,9.0,12.0,2172.0,135.75,1100.0,116.0,0.0,93.0,818.0,0.0,25,SF,2006,,
513.0,30.0,140.0,12.0,8.0,2.924,15.0,2685.0,1109.0,1576.0,167.813,925.0,219.0,14.6,24.0,4162.0,0.0,357.0,9.0,65.0,11.0,5.0,8.0,1477.0,92.313,1154.0,73.0,0.0,97.0,702.0,0.0,25,SF,2007,,
509.0,55.0,176.0,13.0,5.0,4.126,21.0,3724.0,1741.0,1983.0,232.75,961.0,339.0,21.188,36.0,5323.0,0.0,397.0,9.0,83.0,15.0,8.0,10.0,1599.0,99.938,1086.0,121.0,1.0,98.0,732.0,0.0,25,SF,2008,,
528.0,42.0,137.0,5.0,2.0,4.356,23.0,3293.0,1262.0,2031.0,205.813,939.0,330.0,20.625,39.0,4893.0,0.0,371.0,13.0,77.0,5.0,2.0,12.0,1600.0,100.0,1101.0,96.0,0.0,98.0,758.0,0.0,25,SF,2009,,
500.0,53.0,149.0,7.0,2.0,3.8,19.0,3613.0,1806.0,1807.0,225.813,945.0,305.0,19.063,34.0,5270.0,0.0,401.0,8.0,85.0,6.0,2.0,10.0,1657.0,103.563,1084.0,99.0,1.0,112.0,933.0,0.0,25,SF,2010,,
451.0,41.0,150.0,5.0,2.0,3.991,18.0,3193.0,1443.0,1750.0,199.563,993.0,380.0,23.75,35.0,5237.0,0.0,498.0,16.0,101.0,5.0,2.0,14.0,2044.0,127.75,928.0,166.0,1.0,113.0,1014.0,0.0,25,SF,2011,,
436.0,54.0,172.0,5.0,1.0,5.275,23.0,3551.0,1509.0,2042.0,221.938,969.0,397.0,24.813,44.0,6042.0,0.0,492.0,17.0,128.0,11.0,3.0,17.0,2491.0,155.688,1012.0,131.0,0.0,109.0,960.0,0.0,25,SF,2012,,
